1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
1257	-0.529158	75.682123	480.303588	0.008280	24.9
1258	-0.516201	74.716917	485.146953	0.007604	24.9
1259	-0.540419	75.716878	480.130995	0.009605	24.9
1260	-0.539357	76.716387	475.219891	0.007191	25.2
1261	-0.550179	77.716387	470.405899	0.008111	25.0
1262	-0.519845	78.716363	465.688573	0.007147	25.2
1263	-0.532809	79.716363	461.064810	0.007418	25.0
1264	-0.520876	78.749368	465.534483	0.007177	25.1
1265	-0.523155	77.781941	470.093725	0.009209	24.8
1266	-0.534792	78.781940	465.382519	0.005866	25.5
1267	-0.556848	77.814514	469.938763	0.007247	24.8
1268	-0.501460	76.847087	474.585111	0.010022	25.3
1269	-0.539534	77.847087	469.783907	0.011443	25.1
1270	-0.548797	76.883347	474.409307	0.007420	25.1
1271	-0.529785	75.929594	479.077324	0.008517	24.6
1272	-0.539534	76.285298	477.325677	0.010391	26.0
1273	-0.544740	77.285205	472.469593	0.007026	25.1
1274	-0.522269	76.317779	477.166364	0.007577	25.1
1275	-0.534584	75.485436	481.282696	0.008069	25.1
1276	-0.545028	74.518008	486.157233	0.008734	25.4
1277	-0.533955	75.333023	482.044153	0.006231	24.9
1278	-0.521461	76.208313	477.703698	0.007691	25.6
1279	-0.546056	75.379521	481.811593	0.007049	24.7
1280	-0.527327	74.412822	486.693187	0.009908	25.2
1281	-0.549656	73.445414	491.678408	0.008387	24.5
1282	-0.543159	72.477987	496.766908	0.011028	25.7
1283	-0.540959	71.519206	501.914927	0.009335	24.9
1284	-0.504323	70.551779	507.218660	0.010988	25.0
1285	-0.531890	71.551778	501.738286	0.008223	25.3
1286	-0.525848	72.551778	496.375071	0.010925	25.3
1287	-0.542240	73.551726	491.125572	0.011551	24.8
1288	-0.546368	72.584299	496.202581	0.007852	25.1
1289	-0.542408	73.470956	491.545474	0.008677	24.8
1290	-0.532029	74.470956	486.396835	0.009730	25.1
1291	-0.535879	73.503550	491.375940	0.009460	24.6
1292	-0.557600	74.502914	486.234072	0.006292	25.0
1293	-0.539265	75.502431	481.197936	0.007494	24.8
1294	-0.546963	76.477855	476.382771	0.008662	25.2
1295	-0.560145	77.469839	471.583698	0.008476	24.7
1296	-0.560025	76.502411	476.262792	0.008179	26.0
1297	-0.535154	77.348713	472.164497	0.009277	24.8
1298	-0.550873	78.110651	468.534613	0.009466	24.9
1299	-0.513899	78.952594	464.587950	0.008265	24.9
1300	-0.494876	79.800670	460.679186	0.006064	25.4
1301	-0.519792	80.789519	456.203850	0.008492	25.4
1302	-0.528212	81.789519	451.765617	0.010542	25.0
1303	-0.517422	82.378511	449.191717	0.008083	24.8
1304	-0.528056	81.411090	453.434980	0.008627	24.9
1305	-0.551371	80.443663	457.759207	0.007004	24.9
1306	-0.563215	79.476255	462.166615	0.007429	24.7
1307	-0.538139	78.512257	466.643728	0.008967	24.8
1308	-0.535468	79.512257	462.001073	0.009861	25.0
1309	-0.542659	80.512257	457.449889	0.010436	25.2
1310	-0.532490	79.544840	461.851355	0.007471	24.9
1311	-0.530443	78.740861	465.574191	0.006993	25.1
1312	-0.533723	77.773433	470.134215	0.006457	24.8
1313	-0.526878	78.772580	465.426178	0.006578	25.1
1314	-0.553299	77.805153	469.983289	0.007434	24.8
1315	-0.530081	76.837725	474.630522	0.009456	25.3
1316	-0.547087	77.837713	469.828459	0.008715	24.6
1317	-0.537998	76.870286	474.472616	0.007504	25.2
1318	-0.534473	75.909816	479.175101	0.009074	24.7
1319	-0.551475	76.114165	478.166810	0.006659	25.1
1320	-0.552967	75.386302	481.777700	0.008098	24.9
1321	-0.545346	74.419551	486.658870	0.006436	25.0
1322	-0.503417	73.452126	491.643468	0.009286	24.7
1323	-0.527768	74.452126	486.492786	0.009592	26.1
1324	-0.529546	73.484698	491.473979	0.007687	26.1
1325	-0.524070	73.952724	489.051482	0.007650	25.1
1326	-0.540795	72.985297	494.085480	0.010327	24.7
1327	-0.535536	72.017871	499.224183	0.007941	25.1
1328	-0.524452	73.017868	493.914313	0.008065	24.9
1329	-0.534421	74.017828	488.716398	0.009018	25.8
1330	-0.543820	73.050763	493.741560	0.006677	25.1
1331	-0.526431	72.177997	498.366267	0.006138	25.1
1332	-0.554975	71.210571	503.594869	0.008410	25.0
1333	-0.541295	70.244621	508.926116	0.005986	25.4
1334	-0.530641	69.277194	514.379864	0.008721	24.7
1335	-0.535719	70.277005	508.745553	0.010346	25.1
1336	-0.564931	71.276976	503.232472	0.008501	25.0
1337	-0.547233	70.309548	508.564235	0.007834	25.3
1338	-0.536361	70.787980	505.913416	0.010293	24.8
1339	-0.556446	69.918391	510.752224	0.008458	25.5
1340	-0.562889	70.828465	505.690373	0.010177	24.7
1341	-0.516398	69.861037	511.074625	0.008216	25.4
1342	-0.519824	70.859546	505.519268	0.010313	24.7
1343	-0.533219	69.892706	510.896561	0.008717	25.4
1344	-0.517634	70.892209	505.339586	0.010026	25.3
1345	-0.539920	71.892207	499.899528	0.011571	25.2
1346	-0.553146	72.892207	494.575342	0.009115	24.9
1347	-0.536458	73.496888	491.410581	0.011951	25.3
1348	-0.538989	74.495201	486.273345	0.006513	26.1
1349	-0.536099	75.495201	481.233993	0.008623	26.2
1350	-0.507886	74.574661	485.869059	0.008289	25.1
1351	-0.558084	73.608289	490.831947	0.008474	25.0
1352	-0.532603	74.571199	485.886659	0.007360	25.1
1353	-0.539947	73.603772	490.855383	0.008423	25.2
1354	-0.535030	72.639132	495.912015	0.009703	25.1
1355	-0.522053	71.671705	501.088987	0.006925	25.0
1356	-0.539854	72.671695	495.739620	0.008032	24.8
1357	-0.549432	71.704269	500.912971	0.008229	25.2
1358	-0.548986	71.146889	503.942904	0.006793	25.0
1359	-0.536824	72.146888	498.532711	0.007121	25.4
1360	-0.555650	73.146888	493.237448	0.007436	24.6
1361	-0.528600	74.088740	488.351942	0.008472	25.2
1362	-0.517461	73.121347	493.371291	0.009509	25.1
1363	-0.533890	72.153920	498.495078	0.005979	25.1
1364	-0.527868	73.153920	493.200609	0.007138	24.7
1365	-0.530839	72.958708	494.225300	0.009780	25.9
1366	-0.528860	72.027263	499.173781	0.007977	24.6
1367	-0.504574	73.027263	493.864961	0.008337	25.4
1368	-0.537538	74.027263	488.667874	0.006944	24.9
1369	-0.530312	73.059836	493.693937	0.007652	25.4
1370	-0.537337	74.043844	488.582624	0.010450	24.6
1371	-0.538666	73.787431	489.904304	0.007673	25.3
1372	-0.544558	72.820012	494.955923	0.007634	25.0
